Country,Year
Algeria,3266.5
Angola,2341.0
Argentina,2159.32
Armenia,2474.0
Australia,2845.7625000000003
Austria,1884.0
Azerbaijan,2207.4
Bangladesh,2066.0
Belarus,1807.0
Belgium,1546.0
Benin,2630.4666666666667
Bolivia,2288.9
Bosnia and Herzegovina,1769.0
Botswana,3426.6666666666665
Brazil,2189.6
Bulgaria,2177.0
Burkina Faso,3209.0
Burundi,2373.4
Cameroon,2165.125
Canada,1982.0125
Central African Republic,2546.5
Chad,3353.2
Chile,2841.7799999999997
China,2034.5600000000002
Colombia,1930.7749999999999
Congo,1698.6666666666667
Croatia,2272.0
Cyprus,3314.1
Czech Republic,1668.0
Democratic Republic of the Congo,2225.0
Denmark,1932.0
Djibouti,3279.0
Ecuador,1909.55
Egypt,3710.6800000000003
El Salvador,2957.0
Equatorial Guinea,1548.95
Eritrea,3361.0
Estonia,1826.0
Ethiopia,2784.8500000000004
Falkland Islands,1651.0
Faroe Islands,840.0
Fiji,1922.0
Finland,1858.0
France,2166.6666666666665
French Guiana,1976.0
Gabon,1720.1999999999998
Gambia,3070.0
Georgia,2046.0
Germany,1644.0
Ghana,2367.5
Greece,2773.0
Guinea,2440.0
Guinea-Bissau,2707.0
Guyana,2460.6
Honduras,2259.8
Hungary,1988.0
Iceland,1326.0
India,2434.15
Indonesia,2983.3
Iran,2826.1
Iraq,3240.8
Ireland,1453.0
Israel,3311.0
Italy,2372.25
Ivory Coast,2445.9
Japan,1808.5500000000002
Kazakhstan,2431.5
Kenya,3030.0249999999996
Latvia,1754.0
Libya,3178.1
Lithuania,1691.0
Luxembourg,1634.0
Madagascar,2864.433333333334
Malawi,2795.866666666667
Mali,3099.866666666667
Malta,3054.0
Mauritania,3332.5
Mexico,2596.25
Moldova,2126.0
Monaco,2575.0
Mongolia,2791.5
Montenegro,2481.0
Morocco,3155.4666666666667
Mozambique,2838.0
Namibia,3737.5
Netherlands,1662.0
New Zealand,1953.925
Nicaragua,2759.9
Niger,3203.2
Nigeria,2669.08
North Korea,2492.0
North Macedonia,2339.0
Norway,1373.3333333333333
Oman,3493.3
Pakistan,2992.15
Panama,1743.5
Papua New Guinea,2463.0
Paraguay,2803.0
Peru,2281.65
Philippines,2103.1
Poland,1571.0
Portugal,2770.0
Puerto Rico,2963.8
Romania,2115.0
Russia,1972.7875000000001
Saint Pierreand Miquelon,1427.3
Saudi Arabia,3236.5
Senegal,3146.0
Serbia,2055.0
Singapore,2022.4
Slovakia,2038.0
Slovenia,1974.0
Solomon Islands,2330.0
Somalia,3103.0
South Africa,3141.316666666667
South Korea,2196.65
South Sudan,2841.3
Spain,2800.2
Sudan,3559.55
Sweden,1782.5
Switzerland,1566.0
Taiwan,1886.8666666666666
Tanzania,3032.85
Thailand,2175.025
Togo,2579.95
Tunisia,3049.95
Turkey,2333.8
Uganda,2304.0
Ukraine,1955.0
United ArabEmirates,3508.7
United Kingdom,1530.0
United States,2827.6185185185186
Uruguay,2481.4
Uzbekistan,2823.9
Venezuela,2895.55
Vietnam,2123.5
Zambia,2965.466666666667
Zimbabwe,3065.4
